Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.000000000002,10000.0,10000.000000000002,10000.0,10000.0,10000.0,10000.0,10000.0,10000.000000000002,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.000000000002,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9933.727023668258,9995.388994937228,10000.0,10022.604390096203,9940.7204245435,9997.444952763995,9927.983811789618,9966.30123015086,9978.831401394025,9986.638565450678,9950.579187617715,10020.934494691444,9986.372183010812,10053.494608527262,9991.499791278004,9933.727023668258,9972.753464898504,9976.700212258944,9985.451095512448,9946.562076708451,9933.727023668258,9954.013838767889,9945.826107977553,9968.979095482719,9973.02820662062,9986.951431145855,9981.632239140647,9957.760138724776,10005.747076454278,9970.986210881278,9999.009540249572,9994.53240529187,9919.28459211829,10022.604390096203,9965.163323315772,10007.649288997884,10006.859192952596,9983.658560196822,10024.561063100355,9987.56407132036,9905.894031979687,9955.445794341898,9953.731476491237,9956.979046342549,9933.727023668258,10000.0,9941.808216822552,9985.74862235544,9974.85875576454,9930.378117410415
10904.14247411979,10205.897611644346,10376.484170612546,10236.732388345661,9983.689966397213,10584.173981316377,10006.296835106794,10851.55578454006,10715.004857162607,10162.55479243571,10100.171243232924,10202.557423312433,10328.647846975722,10368.694886988029,10434.75969156007,10904.142474119792,10015.861472075598,10060.995816796705,10471.059038684878,10602.382019385344,9976.666335999484,10515.934484149995,10062.656907194292,10096.12059191491,10678.63216810748,10064.321266002147,10329.946692294548,10159.523785218946,10160.979292636017,10191.36931112878,10167.83005820647,9994.53240529187,10008.202451398629,10236.732388345661,10537.26444780553,10203.993336051719,10175.529337493417,10173.525657686998,10287.687839946188,10120.430694062714,9948.713034026527,10391.828056354196,10073.416037526054,9956.979046342549,10904.142474119792,10457.63778094556,10034.943648725815,10876.42992238249,10017.975863226133,10312.159585164783
10758.519470942785,10070.18203307564,10410.220103919635,10098.50058902705,9868.296364038193,10771.940784534254,10006.296835106794,10720.843879681755,10555.412525911657,10084.369463066447,9972.54471339555,10056.996957173356,10189.034760545941,10366.145438171025,10314.152529818017,10732.041639034236,10187.09606043425,9944.711862655146,10397.441281460253,10487.900104329527,10049.504934281942,10373.932477052922,9974.647822640582,10019.876485225957,10509.23753265501,9915.921589615617,10251.518115623348,10020.706425351927,10072.06362605617,10205.855098742377,10018.610259307403,9870.629159315791,9889.324733461413,10098.50058902705,10396.976583571157,10174.729054991141,10103.864506708142,10245.773086122063,10224.548884481013,10016.172053696171,9833.723702457099,10439.354412967437,10002.470376439018,9816.03950854896,10770.371100312013,10714.937727182987,9915.022766869559,10727.998553108357,9902.185977212624,10568.755217797563
10745.920270231582,10030.501431882212,10509.541040100841,10083.166973657919,9682.287894350899,10806.940774348725,9891.66579752619,10574.681417529027,10481.621451976398,9879.545683281061,9808.335516844996,10038.638338953393,10117.858316520542,10249.505638123232,10307.918394384516,10686.052769868014,10187.19879853159,9898.59540063482,10463.478563198338,10342.83741287132,10011.112255308622,10329.478174742804,10048.183417058657,10076.321882182569,10379.96265848199,9832.637159802936,9974.114619097338,9986.551394720127,10032.08633091553,10100.83783023656,9964.998198227424,9941.826003795111,9853.429436665236,10055.226565501589,10352.961767565932,10037.010258529324,10169.297266581649,10057.540535590404,10127.42723803624,10048.3691245803,9678.435920237396,10244.031687433771,9992.960452840702,9884.780332035645,10742.709829177771,10670.946644961747,9979.232585143962,10731.05493893429,9862.882947958078,10187.201874108436
10871.453490352924,10162.091932431427,10538.021032445813,10194.245677742545,9651.80789545395,10986.569302543943,9866.739963044023,10598.390846231,10570.489152432045,10029.370907719485,9892.195912862422,10160.634454476352,10117.858316520542,10262.132146191612,10345.508335118695,10819.911432092962,10288.563634949487,10062.998891010182,10591.343317004745,10371.42146135805,10133.615576406497,10458.870211234678,10224.55519531418,10254.143816591099,10514.954900325702,9906.257688873338,9918.213814127357,10091.020176318969,10117.859776486057,10015.498498772304,10090.406226779334,9976.215595848236,9951.656711134987,10181.18319377336,10482.72400449592,10152.721897504409,10355.63279984849,10176.515112452069,10253.39371662022,10201.381703754068,9717.900102836298,10271.181094955176,10012.271477554285,9884.780332035645,10875.52640705766,10780.499275219103,10027.810720762227,10877.881928067414,9947.209719658413,10301.725073818143
10964.73459268256,10235.900641481165,10546.371829823542,10244.159943313376,9688.614584410085,11030.940981133466,9924.488864337953,10578.614537898335,10558.3695438709,10083.538338259657,9941.600420129165,10269.308046675724,10100.561979644266,10244.605698857507,10328.7903713093,10939.699462389046,10291.431089228821,10174.407087240916,10595.760637413916,10401.792753905092,10080.47595223594,10574.661127786003,10193.804830590241,10309.88414710544,10481.619947461211,9950.566015718618,9857.819845533173,10045.110076312638,10058.944549913082,9957.179311085223,10201.532360661022,10042.57938567772,9893.709267420107,10293.899817058122,10598.705888825352,10172.529564745968,10296.331864098578,10166.013219880877,10325.564901235515,10183.348569369791,9825.48768515976,10260.709762408942,10030.966132902518,9920.233743737062,10834.093514441302,10873.626784667409,10067.891252293723,10956.929260716272,9877.184730936182,10350.735469041485
11012.927196844663,10426.97065203818,10497.494369350314,10915.273948871449,9960.99757974887,11080.019151778988,9919.17444981327,10575.619112002609,10622.510560968181,10043.486949026643,9906.84757902928,10221.53122126857,10223.85003924492,10184.214281934377,10623.934958924983,10903.03728967694,10291.43108922882,10141.833461359303,10924.172309599955,10724.751647230296,10231.771993901568,10502.995175949189,10739.84479466196,10274.393612524587,10466.191695723448,10267.968412212043,10439.824476046035,10010.22420761556,10782.08515358262,9966.106153844423,10934.923645704592,10219.984280395593,9826.658221218418,10600.221720783462,10751.719690200782,10103.588914541107,10253.440741498396,10133.765219537516,10276.504079790615,10128.302187291709,9758.898986126405,10908.821427567696,10239.499541030564,9888.645564772001,11393.277311083897,10847.570418202122,10595.83984613411,10917.584801652314,9857.397761083306,10862.545642989331
11394.596210711432,10524.618829994803,10709.744177341752,11311.211050170688,10180.20005633188,11028.07296231833,9953.10634768433,10592.538966475575,10585.140689830338,10007.936972031337,10022.297755689413,10254.785124463982,10229.371878136515,10184.214281934377,10986.105622967663,10875.9815135553,10371.10518964597,10117.497630328633,10963.165807515406,10743.987632438048,10208.060254036083,10540.485295007406,10751.18859409054,10225.7216016273,10557.002790954266,10500.172155420667,10409.455605195111,10138.819846574279,10796.986522067167,9948.947278722733,11381.753542624316,10257.99270158373,9802.333608791396,10574.785964451288,11029.21539854509,10139.653365202646,10672.423444811184,10128.322118474067,10386.326997268188,10209.129708615614,9957.455396796151,10991.15719487673,10263.488392759438,9932.43466009873,11738.007862421591,10894.301891796837,10578.956030628091,10865.127968586969,9877.282842541768,10820.229564266621
11436.479462255284,10573.401723791008,10670.659597066477,11404.952224299275,10144.328152893879,10957.841586226992,9985.962749725215,10652.828191516506,10634.922683233204,10067.856142455237,10058.240250420175,10247.770810509932,10297.78956934575,10212.165377084419,11053.733926514058,10864.510918873615,10385.101642294472,10102.059227118743,11029.298822712575,10771.008756630592,10194.93911648268,10648.83871615995,10801.975416091063,10286.519336415251,10536.422898111885,10531.515514487082,10466.237914551622,10187.648373847129,10781.869496908175,10010.191039671647,11434.509360507433,10185.687739218483,9842.15387995317,10558.649779838988,11059.06652467787,10143.129901033722,10690.786715353848,10177.100088718527,10438.135979422503,10252.721066787546,9974.352124578661,11097.289906267157,10302.826762965822,10001.093512372927,11758.337241380555,10891.63737875084,10633.973970806008,10897.381941024298,9934.69725469248,10820.22956426662
11322.891309535771,10437.030184086098,10586.238602261608,11285.664332007851,10064.135102086093,10864.114721433112,9920.015102222966,10572.011385064678,10498.111695225585,9955.677538807464,9953.912170370375,10177.408803631119,10199.898028028943,10082.715727604253,10934.252320462017,10726.595995237927,10272.480274595953,9979.092652275203,10890.338823096867,10719.677928654346,10070.89184141792,10541.533548584288,10690.411100380197,10183.475154383708,10408.01592059542,10402.647453267959,10354.244856639089,10094.522260371104,10651.98191268752,9935.66793331788,11355.596376591766,10080.049860379397,9749.201317097219,10463.697924189057,10980.186313629549,10036.850358109183,10571.529744841067,10147.771823001753,10315.284802161077,10157.417684510834,9856.094114502332,10989.751340155417,10206.471757496196,9913.017646900584,11620.05107765416,10786.028212389465,10545.232531303687,10795.344897072173,9852.42115687631,10707.537656918299
