Date,BuyHold
2024-01-04,16186.91
2024-01-05,16294.927
2024-01-08,16775.732
2024-01-09,16844.533
2024-01-10,17141.889
2024-01-11,17135.252
2024-01-12,17132.637
2024-01-16,17154.715
2024-01-17,17058.264
2024-01-18,17310.465
2024-01-19,17666.451
2024-01-22,17632.842
2024-01-23,17740.527
2024-01-24,17932.451
2024-01-25,17841.504
2024-01-26,17815.871
2024-01-29,18112.45
2024-01-30,18027.02
2024-01-31,17503.553
2024-02-01,17791.732
2024-02-02,18966.43
2024-02-05,18968.023
2024-02-06,18885.707
2024-02-07,19261.121
2024-02-08,19234.746
2024-02-09,19569.676
2024-02-12,19445.5
2024-02-13,19166.918
2024-02-14,19504.318
2024-02-15,19531.576
2024-02-16,19359.088
2024-02-20,19040.83
2024-02-21,18928.477
2024-02-22,20051.148
2024-02-23,19985.676
2024-02-26,19917.691
2024-02-27,19959.863
2024-02-28,19827.6
2024-02-29,20087.977
2024-03-01,20424.652
2024-03-04,20362.924
2024-03-05,20104.068
2024-03-06,20273.096
2024-03-07,20837.396
2024-03-08,20397.309
2024-03-11,20084.266
2024-03-12,20776.967
2024-03-13,20616.95
2024-03-14,20479.283
2024-03-15,20268.043
2024-03-18,20620.367
2024-03-19,20715.035
2024-03-20,21004.688
2024-03-21,21011.023
2024-03-22,21267.398
2024-03-25,21222.688
2024-03-26,21000.385
2024-03-27,20898.701
2024-03-28,20782.957
2024-04-01,20913.37
2024-04-02,20793.094
2024-04-03,20891.93
2024-04-04,20625.623
2024-04-05,21021.664
2024-04-08,20968.59
2024-04-09,20909.078
2024-04-10,20972.434
2024-04-11,21457.129
2024-04-12,21075.09
2024-04-15,20581.326
2024-04-16,20601.037
2024-04-17,20263.29
2024-04-18,20261.438
2024-04-19,19327.77
2024-04-22,19606.293
2024-04-23,20067.262
2024-04-24,19994.77
2024-04-25,19640.215
2024-04-26,20334.9
2024-04-29,20393.594
2024-04-30,19959.357
2024-05-01,19879.885
2024-05-02,20263.18
2024-05-03,20753.127
2024-05-06,21206.922
2024-05-07,21096.316
